
--- 녹화 세션 시작: 2026-06-07 14:22:01 ---
[2026-06-07 14:22:01] Time:0.008s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:01] Time:0.163s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:02] Time:0.318s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:02] Time:0.474s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:02] Time:0.629s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:02] Time:0.784s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:02] Time:0.940s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:02] Time:1.095s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:03] Time:1.251s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:03] Time:1.406s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:03] Time:1.562s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:03] Time:1.717s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:03] Time:1.873s | X:53, Y:74 | Dir:left | Teleport:True | Jump:False | Combat:True
[2026-06-07 14:22:03] Time:2.028s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:03] Time:2.184s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:04] Time:2.339s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:04] Time:2.495s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:04] Time:2.652s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:04] Time:2.806s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:04] Time:2.961s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:04] Time:3.117s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:05] Time:3.272s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:05] Time:3.428s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:05] Time:3.583s | X:46, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:05] Time:3.739s | X:47, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:05] Time:3.894s | X:48, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:05] Time:4.050s | X:48, Y:69 | Dir:left | Teleport:True | Jump:False | Combat:True
[2026-06-07 14:22:06] Time:4.205s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:06] Time:4.361s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:06] Time:4.516s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:06] Time:4.672s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:06] Time:4.827s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:06] Time:4.983s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:06] Time:5.138s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:07] Time:5.294s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:07] Time:5.449s | X:35, Y:58 | Dir:none | Teleport:True | Jump:False | Combat:False
[2026-06-07 14:22:07] Time:5.605s | X:35, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:07] Time:5.760s | X:35, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:07] Time:5.916s | X:35, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:07] Time:6.071s | X:35, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:08] Time:6.227s | X:35, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:08] Time:6.383s | X:35, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:08] Time:6.538s | X:35, Y:58 | Dir:none | Teleport:True | Jump:False | Combat:True
[2026-06-07 14:22:08] Time:6.693s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:08] Time:6.849s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:08] Time:7.004s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:08] Time:7.160s | X:35, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:09] Time:7.315s | X:35, Y:83 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:09] Time:7.471s | X:35, Y:83 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:09] Time:7.627s | X:35, Y:83 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:09] Time:7.782s | X:35, Y:83 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:09] Time:7.937s | X:35, Y:83 | Dir:right | Teleport:True | Jump:False | Combat:True
[2026-06-07 14:22:09] Time:8.094s | X:48, Y:83 | Dir:right | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:10] Time:8.248s | X:48, Y:83 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:10] Time:8.404s | X:48, Y:82 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:10] Time:8.560s | X:53, Y:82 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:10] Time:8.715s | X:54, Y:82 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:10] Time:8.870s | X:54, Y:82 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:10] Time:9.026s | X:54, Y:82 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:10] Time:9.181s | X:54, Y:82 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:11] Time:9.337s | X:54, Y:82 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:11] Time:9.492s | X:54, Y:82 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:11] Time:9.648s | X:54, Y:82 | Dir:none | Teleport:True | Jump:False | Combat:False
[2026-06-07 14:22:11] Time:9.803s | X:54, Y:77 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:11] Time:9.959s | X:54, Y:77 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:11] Time:10.115s | X:54, Y:77 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:12] Time:10.270s | X:54, Y:77 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:12] Time:10.426s | X:53, Y:77 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-07 14:22:12] Time:10.582s | X:53, Y:77 | Dir:none | Teleport:True | Jump:False | Combat:False
[2026-06-07 14:22:12] Time:10.736s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:12] Time:10.892s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:12] Time:11.047s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:13] Time:11.203s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:13] Time:11.359s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:13] Time:11.514s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:13] Time:11.669s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:13] Time:11.825s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:13] Time:11.981s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:13] Time:12.136s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:14] Time:12.291s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:14] Time:12.447s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:14] Time:12.603s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:14] Time:12.758s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:14] Time:12.913s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:14] Time:13.069s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:15] Time:13.225s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:15] Time:13.380s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:15] Time:13.536s | X:53, Y:74 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:15] Time:13.691s | X:53, Y:74 | Dir:none | Teleport:True | Jump:False | Combat:True
[2026-06-07 14:22:15] Time:13.847s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:15] Time:14.002s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:15] Time:14.158s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:16] Time:14.313s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:16] Time:14.469s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:16] Time:14.624s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:16] Time:14.780s | X:41, Y:58 | Dir:none | Teleport:True | Jump:False | Combat:True
[2026-06-07 14:22:16] Time:14.935s | X:41, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:16] Time:15.091s | X:41, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:17] Time:15.246s | X:41, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:17] Time:15.402s | X:41, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:17] Time:15.557s | X:41, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:17] Time:15.713s | X:41, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:17] Time:15.868s | X:41, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:17] Time:16.024s | X:41, Y:58 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:17] Time:16.179s | X:41, Y:58 | Dir:none | Teleport:True | Jump:False | Combat:True
[2026-06-07 14:22:18] Time:16.335s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-07 14:22:18] Time:16.490s | X:41, Y:69 | Dir:none | Teleport:False | Jump:False | Combat:True
