Time,X,Y,Direction,Down,Teleport,Jump,Combat
0.009,53,74,none,False,False,False,False
0.164,53,74,none,False,False,False,False
0.32,53,74,none,False,False,False,True
0.476,53,74,none,False,False,False,True
0.631,53,74,none,False,False,False,True
0.786,53,74,none,False,False,False,True
0.942,53,74,none,False,False,False,True
1.097,53,74,none,False,False,False,True
1.253,53,74,none,False,False,False,True
1.408,53,74,none,False,False,False,True
1.564,53,74,none,False,False,False,True
1.719,53,74,none,False,False,False,True
1.875,53,74,none,False,False,False,True
2.03,53,74,none,False,False,False,True
2.186,53,74,none,False,False,False,True
2.342,53,74,none,False,False,False,True
2.497,53,74,none,False,False,False,True
2.652,53,74,none,False,False,False,True
2.808,53,74,none,False,False,False,True
2.963,53,74,none,False,False,False,True
3.119,53,74,none,False,False,False,True
3.275,53,74,none,False,False,False,True
3.43,53,74,none,False,False,False,True
3.585,53,74,left,False,True,False,True
3.741,42,69,none,False,False,False,True
3.897,46,69,none,False,False,False,True
4.052,46,69,none,False,False,False,True
4.207,47,69,none,False,False,False,True
4.363,47,69,none,False,False,False,True
4.518,47,69,none,False,False,False,True
4.674,47,69,none,False,False,False,True
4.829,47,69,left,False,False,False,True
4.985,47,69,left,False,False,False,False
5.14,46,69,left,False,False,False,False
5.296,45,69,left,False,False,False,False
5.451,43,69,left,False,False,False,True
5.607,44,68,none,False,False,False,True
5.762,46,69,none,False,False,False,True
5.919,46,69,left,False,False,False,True
6.074,46,69,left,False,False,False,False
6.229,46,69,left,False,False,False,False
6.385,46,69,left,False,False,False,False
6.54,46,69,left,False,False,False,False
6.695,46,69,left,False,False,False,False
6.851,45,69,left,False,False,False,False
7.006,44,68,left,False,False,False,True
7.162,45,68,left,False,False,False,True
7.318,46,69,left,False,False,False,False
7.473,46,69,left,False,False,False,False
7.629,46,69,left,False,False,False,False
7.784,46,69,left,False,False,False,False
7.94,46,69,left,False,False,False,False
8.095,46,69,left,False,False,False,False
8.251,46,69,left,False,False,False,False
8.406,44,69,left,False,False,False,False
8.562,45,68,left,False,False,False,False
8.717,46,69,left,False,False,False,False
8.873,45,69,left,False,False,False,False
9.028,44,69,left,False,False,False,False
9.183,42,69,none,False,False,False,False
9.339,41,58,none,False,True,False,False
9.495,41,58,none,False,False,False,True
9.65,41,58,none,False,False,False,True
9.806,41,58,none,False,False,False,True
9.961,41,58,none,True,False,False,False
10.117,41,58,none,True,True,False,False
10.272,44,68,none,True,False,False,True
10.428,47,69,none,True,False,False,False
10.584,47,69,none,False,False,False,False
