Time,X,Y,Direction,Down,Teleport,Jump,Combat
27.389,41,69,none,False,False,False,True
27.545,41,69,none,False,False,False,True
27.7,41,69,none,True,True,False,True
27.856,43,68,none,False,False,False,True
28.011,47,69,none,False,False,False,True
28.167,47,69,none,False,False,False,True
28.322,47,69,left,False,False,False,False
28.478,47,69,left,False,False,False,False
28.633,47,69,left,False,False,False,False
28.788,46,69,left,False,False,False,False
28.944,44,69,left,False,False,False,False
29.1,43,69,none,True,True,False,True
29.255,41,82,none,False,False,False,True
29.411,41,82,none,False,False,False,True
29.566,41,82,none,False,False,False,True
29.722,41,82,none,False,False,False,True
29.877,41,82,none,False,False,False,True
30.033,41,82,none,False,False,False,True
30.188,41,82,none,False,False,False,True
30.343,41,82,none,False,False,False,True
30.499,41,82,right,False,False,False,True
30.655,53,82,none,False,False,False,True
30.81,53,82,none,False,False,False,True
30.966,53,82,none,False,False,False,True
31.121,53,82,none,False,False,False,True
31.277,53,82,none,False,False,False,True
31.432,53,82,none,False,False,False,True
31.587,53,82,none,False,False,False,True
31.743,53,82,none,False,False,False,False
31.899,53,82,none,False,False,False,False
32.054,53,82,none,False,False,False,False
32.21,53,82,none,False,False,False,False
32.365,53,82,none,False,False,False,True
32.521,53,82,none,False,False,False,True
32.676,53,82,none,False,False,False,True
32.832,53,82,none,False,False,False,True
32.987,53,82,none,False,False,False,False
33.143,53,82,none,False,False,False,False
33.298,53,82,none,False,False,False,False
33.454,53,82,none,False,False,False,False
33.609,53,83,none,False,False,False,False
33.765,53,83,none,False,True,False,False
33.92,53,83,none,False,True,False,False
34.076,53,74,none,False,False,False,True
34.231,53,74,none,False,False,False,True
34.387,53,74,none,False,False,False,True
34.542,53,74,none,False,False,False,True
34.698,53,74,none,False,False,False,True
34.853,53,74,none,False,False,False,True
35.009,53,74,none,False,False,False,True
35.164,53,74,none,False,False,False,True
35.32,53,74,none,False,False,False,True
35.475,53,74,none,False,False,False,True
35.631,53,74,none,False,False,False,True
35.786,53,74,none,False,False,False,True
35.942,53,74,none,False,False,False,True
36.098,53,74,none,False,False,False,True
36.253,53,74,none,False,False,False,True
36.409,53,74,none,False,False,False,True
36.564,53,74,none,False,False,False,True
36.719,53,74,none,False,False,False,True
36.875,53,74,none,False,False,False,True
37.031,53,74,none,False,False,False,True
37.186,53,74,none,False,False,False,True
