Time,X,Y,Direction,Down,Teleport,Jump,Combat
0.008,53,74,none,False,False,False,False
0.163,53,74,none,False,False,False,False
0.318,53,74,none,False,False,False,False
0.474,53,74,none,False,False,False,True
0.629,53,74,none,False,False,False,True
0.784,53,74,none,False,False,False,True
0.94,53,74,none,False,False,False,True
1.095,53,74,none,False,False,False,True
1.251,53,74,none,False,False,False,True
1.406,53,74,none,False,False,False,True
1.562,53,74,none,False,False,False,True
1.717,53,74,none,False,False,False,True
1.873,53,74,left,False,True,False,True
2.028,41,69,none,False,False,False,False
2.184,41,69,none,False,False,False,False
2.339,41,69,none,False,False,False,False
2.495,41,69,none,False,False,False,False
2.652,41,69,none,False,False,False,False
2.806,41,69,none,False,False,False,True
2.961,41,69,none,False,False,False,True
3.117,41,69,none,False,False,False,True
3.272,41,69,none,False,False,False,True
3.428,41,69,none,False,False,False,True
3.583,46,69,none,False,False,False,True
3.739,47,69,none,False,False,False,True
3.894,48,69,none,False,False,False,True
4.05,48,69,left,False,True,False,True
4.205,35,69,none,False,False,False,True
4.361,35,69,none,False,False,False,True
4.516,35,69,none,False,False,False,True
4.672,35,69,none,False,False,False,True
4.827,35,69,none,False,False,False,True
4.983,35,69,none,False,False,False,True
5.138,35,69,none,False,False,False,True
5.294,35,69,none,False,False,False,True
5.449,35,58,none,False,True,False,False
5.605,35,58,none,False,False,False,True
5.76,35,58,none,False,False,False,True
5.916,35,58,none,False,False,False,True
6.071,35,58,none,False,False,False,True
6.227,35,58,none,False,False,False,True
6.383,35,58,none,False,False,False,True
6.538,35,58,none,True,True,False,True
6.693,35,69,none,False,False,False,True
6.849,35,69,none,False,False,False,True
7.004,35,69,none,False,False,False,True
7.16,35,69,none,True,False,False,True
7.315,35,83,none,False,False,False,True
7.471,35,83,none,False,False,False,True
7.627,35,83,none,False,False,False,True
7.782,35,83,none,False,False,False,True
7.937,35,83,right,False,True,False,True
8.094,48,83,right,False,False,False,True
8.248,48,83,none,False,False,False,True
8.404,48,82,none,False,False,False,True
8.56,53,82,none,False,False,False,True
8.715,54,82,none,False,False,False,True
8.87,54,82,none,False,False,False,True
9.026,54,82,left,False,False,False,False
9.181,54,82,left,False,False,False,False
9.337,54,82,none,False,False,False,False
9.492,54,82,none,False,False,False,False
9.648,54,82,none,False,True,False,False
9.803,54,77,none,False,False,False,False
9.959,54,77,none,False,False,False,False
10.115,54,77,left,False,False,False,False
10.27,54,77,none,False,False,False,True
10.426,53,77,none,False,False,False,False
10.582,53,77,none,False,True,False,False
10.736,53,74,none,False,False,False,True
10.892,53,74,none,False,False,False,True
11.047,53,74,none,False,False,False,True
11.203,53,74,none,False,False,False,True
11.359,53,74,none,False,False,False,True
11.514,53,74,none,False,False,False,True
11.669,53,74,none,False,False,False,True
11.825,53,74,none,False,False,False,True
11.981,53,74,none,False,False,False,True
12.136,53,74,none,False,False,False,True
12.291,53,74,none,False,False,False,True
12.447,53,74,none,False,False,False,True
12.603,53,74,none,False,False,False,True
12.758,53,74,none,False,False,False,True
12.913,53,74,none,False,False,False,True
13.069,53,74,none,False,False,False,True
13.225,53,74,none,False,False,False,True
13.38,53,74,none,False,False,False,True
13.536,53,74,none,False,False,False,True
13.691,53,74,none,False,True,False,True
13.847,41,69,none,False,False,False,True
14.002,41,69,none,False,False,False,True
14.158,41,69,none,False,False,False,True
14.313,41,69,none,False,False,False,True
14.469,41,69,none,False,False,False,True
14.624,41,69,none,False,False,False,True
14.78,41,58,none,False,True,False,True
14.935,41,58,none,False,False,False,True
15.091,41,58,none,False,False,False,True
15.246,41,58,none,False,False,False,True
15.402,41,58,none,False,False,False,True
15.557,41,58,none,False,False,False,True
15.713,41,58,none,False,False,False,True
15.868,41,58,none,False,False,False,True
16.024,41,58,none,False,False,False,True
16.179,41,58,none,False,True,False,True
16.335,41,69,none,False,False,False,True
16.49,41,69,none,False,False,False,True
16.646,41,69,none,False,False,False,True
16.801,41,69,none,True,True,False,True
16.957,40,82,none,False,False,False,True
17.112,40,82,none,False,False,False,True
17.268,40,82,none,False,False,False,True
17.423,40,82,none,False,False,False,True
17.578,40,82,none,False,False,False,True
17.734,40,82,none,False,False,False,True
17.89,53,83,right,False,True,False,True
18.045,53,83,none,False,False,False,True
18.201,53,83,none,False,False,False,True
18.356,53,83,none,False,False,False,True
18.517,53,83,none,False,True,False,True
18.673,53,74,none,False,False,False,True
18.828,53,74,none,False,False,False,True
18.984,53,74,none,False,False,False,True
19.14,53,74,none,False,False,False,True
19.295,53,74,none,False,False,False,True
19.45,53,74,none,False,False,False,True
19.606,53,74,none,False,False,False,True
19.762,53,74,none,False,False,False,True
19.917,53,74,none,False,False,False,True
20.073,53,74,none,False,False,False,True
20.228,53,74,none,False,False,False,False
20.383,53,74,none,False,False,False,False
20.539,53,74,none,False,False,False,True
20.695,53,74,none,False,False,False,True
20.85,53,74,none,False,False,False,True
21.005,53,74,none,False,False,False,True
21.161,53,74,none,False,False,False,False
21.317,53,74,none,False,False,False,False
21.473,53,74,none,False,False,False,False
21.627,53,74,none,False,False,False,False
21.783,53,74,none,False,False,False,False
21.938,53,74,none,False,False,False,False
22.094,53,74,none,False,False,False,False
22.25,53,74,none,False,False,False,False
22.405,53,74,none,False,False,False,False
22.56,53,74,none,False,False,False,False
22.716,53,74,none,False,False,False,False
22.871,53,74,none,False,False,False,False
23.027,53,74,none,False,False,False,False
23.182,53,74,none,False,False,False,False
23.338,53,74,none,False,False,False,False
23.493,53,74,none,False,False,False,False
23.649,53,74,none,False,False,False,False
23.804,53,74,none,False,False,False,False
23.96,53,74,none,False,False,False,False
24.116,53,74,none,False,False,False,False
24.271,53,74,none,False,False,False,False
24.426,53,74,none,False,False,False,False
24.582,53,74,none,False,False,False,False
24.738,53,74,none,False,False,False,False
24.893,53,74,none,False,False,False,False
25.05,53,74,none,False,False,False,False
