Time,X,Y,Direction,Down,Teleport,Jump,Combat
0.152,53,72,none,False,False,False,False
0.304,53,72,none,False,False,False,False
0.455,53,72,none,False,False,False,False
0.606,53,72,none,False,False,False,False
0.757,53,72,none,False,False,False,True
0.908,53,72,none,False,False,False,True
1.06,53,72,none,False,False,False,True
1.21,53,72,none,False,False,False,True
1.361,53,72,none,False,False,False,True
1.512,53,72,none,False,False,False,True
1.663,53,72,none,False,False,False,True
1.814,53,72,none,False,False,False,True
1.965,53,72,left,False,False,False,False
2.116,40,67,none,False,False,False,True
2.268,40,67,none,False,False,False,True
2.418,40,67,none,False,False,False,True
2.569,40,67,none,False,False,False,True
2.72,40,67,none,False,False,False,True
2.871,40,67,left,False,False,False,False
3.022,40,67,none,False,False,False,True
3.173,31,66,none,False,False,False,True
3.325,32,67,none,False,False,False,True
3.476,35,67,none,False,False,False,True
3.627,35,67,none,False,False,False,True
3.778,35,67,none,False,False,False,True
3.929,35,67,none,False,False,False,True
4.08,35,67,none,False,False,False,True
4.231,35,67,none,False,False,False,True
4.382,35,67,none,False,False,False,True
4.533,35,67,none,False,False,False,True
4.684,35,67,none,False,False,False,True
4.835,35,67,none,False,False,False,False
4.986,34,56,none,False,False,False,True
5.137,34,56,none,False,False,False,True
5.288,34,56,none,False,False,False,True
5.44,34,56,none,False,False,False,True
5.591,34,56,none,False,False,False,True
5.742,34,56,none,False,False,False,True
5.893,34,56,none,False,False,False,True
6.044,34,56,none,False,False,False,True
6.195,35,55,none,False,False,False,True
6.346,40,56,none,False,False,False,True
6.497,41,56,none,False,False,False,True
6.648,42,56,none,False,False,False,True
6.8,42,56,none,False,False,False,True
6.951,29,56,none,False,False,False,True
7.102,29,56,none,False,False,False,True
7.253,29,56,none,False,False,False,True
7.404,29,56,none,True,False,False,False
7.554,29,67,none,False,False,False,True
7.705,29,67,none,False,False,False,True
7.857,29,67,none,False,False,False,True
8.008,29,67,none,False,False,False,True
8.159,29,67,none,False,False,False,True
8.31,29,67,none,False,False,False,True
8.461,29,67,none,False,False,False,True
8.612,29,67,none,False,False,False,True
8.763,29,67,none,False,False,False,True
8.914,29,67,none,False,False,False,True
9.065,29,67,none,False,False,False,True
9.216,29,67,none,False,False,False,True
9.368,29,67,none,False,False,False,True
9.519,29,67,none,False,False,False,True
9.67,29,67,none,False,False,False,True
9.821,29,67,none,False,False,False,True
9.972,29,67,none,False,False,False,True
10.123,31,66,none,False,False,False,True
10.274,34,66,none,False,False,False,True
10.425,36,67,none,False,False,False,True
10.576,36,67,none,True,False,False,True
10.728,36,67,none,False,False,False,True
10.878,35,81,none,False,False,False,True
11.03,35,81,none,False,False,False,True
11.181,35,81,none,False,False,False,True
11.332,35,81,none,False,False,False,True
11.483,35,81,none,False,False,False,True
11.634,35,81,none,False,False,False,True
11.784,35,81,none,False,False,False,True
11.936,35,81,none,False,False,False,True
12.087,35,81,none,False,False,False,True
12.238,35,81,none,False,False,False,True
12.389,35,81,none,False,False,False,True
12.539,35,81,none,False,False,False,True
12.691,35,81,none,False,False,False,True
12.842,35,81,none,False,False,False,True
12.994,35,81,none,False,False,False,True
13.145,35,81,none,False,False,False,True
13.295,35,81,none,False,False,False,True
13.446,35,81,none,False,False,False,True
13.597,35,81,none,False,False,False,True
13.749,35,81,none,False,False,False,True
13.899,35,81,none,False,False,False,True
14.05,35,81,none,False,False,False,True
14.201,35,81,none,False,False,False,True
14.353,35,81,none,False,False,False,True
14.503,35,81,right,False,False,False,False
14.655,52,80,none,False,False,False,False
14.806,53,80,none,False,False,False,True
14.957,54,81,none,False,False,False,True
15.108,54,81,none,False,False,False,True
15.259,54,81,none,False,False,False,True
15.409,54,81,none,False,False,False,True
15.561,54,81,none,False,False,False,False
15.712,54,81,left,False,False,False,False
15.863,54,81,left,False,False,False,False
16.013,54,81,left,False,False,False,False
16.164,54,79,none,False,False,False,False
16.315,55,79,left,False,False,False,False
16.466,55,80,left,False,False,False,False
16.618,55,81,none,False,False,False,False
16.768,52,80,none,False,False,False,False
16.919,53,72,none,False,False,False,False
17.071,53,72,none,False,False,False,True
17.222,53,72,none,False,False,False,True
17.373,53,72,none,False,False,False,True
17.524,53,72,none,False,False,False,True
17.675,53,72,none,False,False,False,True
17.826,53,72,none,False,False,False,True
17.977,53,72,none,False,False,False,True
18.128,53,72,none,False,False,False,True
18.279,53,72,none,False,False,False,True
18.431,53,72,none,False,False,False,True
18.582,53,72,none,False,False,False,True
18.734,53,72,none,False,False,False,True
18.884,53,72,none,False,False,False,True
19.036,53,72,none,False,False,False,True
19.186,53,72,none,False,False,False,True
19.337,53,72,none,False,False,False,True
19.489,53,72,none,False,False,False,True
19.64,53,72,none,False,False,False,True
19.791,53,72,none,False,False,False,True
19.942,53,72,none,False,False,False,True
20.093,53,72,none,False,False,False,True
20.244,53,72,none,False,False,False,True
20.395,53,72,none,False,False,False,True
20.546,53,72,none,False,False,False,True
20.697,53,72,none,False,False,False,True
20.848,53,72,none,False,False,False,True
20.999,53,72,none,False,False,False,True
21.151,53,72,none,False,False,False,True
21.302,53,72,none,False,False,False,True
21.453,53,72,none,False,False,False,True
21.604,53,72,none,False,False,False,True
21.755,53,72,none,False,False,False,True
21.906,53,72,none,False,False,False,True
22.057,53,72,none,False,False,False,True
22.208,53,72,none,False,False,False,True
22.36,53,72,none,False,False,False,True
22.511,53,72,none,False,False,False,True
22.662,53,72,none,False,False,False,True
22.813,53,72,none,False,False,False,True
22.965,53,72,none,False,False,False,True
23.116,53,72,left,False,False,False,False
23.267,41,67,left,False,False,False,False
23.418,41,67,left,False,False,False,False
23.569,41,67,left,False,False,False,False
23.72,41,67,left,False,False,False,False
23.871,39,67,left,False,False,False,False
24.023,38,67,left,False,False,False,False
24.174,36,67,left,False,False,False,True
24.325,35,67,left,False,False,False,True
24.476,34,67,none,False,False,False,True
24.627,34,67,none,False,False,False,True
24.779,34,67,none,False,False,False,True
24.929,34,67,none,False,False,False,True
25.08,34,67,none,False,False,False,True
25.232,34,67,none,False,False,False,True
25.383,34,67,none,False,False,False,True
25.534,34,67,none,False,False,False,True
25.685,37,66,none,False,False,False,True
25.836,39,66,none,False,False,False,True
25.987,41,67,none,False,False,False,True
26.138,41,67,none,False,False,False,True
26.289,41,67,left,False,False,False,True
26.44,29,67,none,False,False,False,True
26.591,29,67,none,False,False,False,True
26.741,29,67,none,False,False,False,True
26.893,29,67,none,False,False,False,True
27.044,29,67,none,False,False,False,True
27.195,29,67,none,False,False,False,True
27.346,29,67,none,False,False,False,True
27.497,29,67,none,False,False,False,True
27.648,29,67,none,False,False,False,True
27.799,29,67,none,False,False,False,True
27.951,29,67,none,False,False,False,True
28.101,29,67,none,False,False,False,True
28.252,29,67,none,False,False,False,True
28.404,29,67,none,False,False,False,True
28.555,29,67,none,False,False,False,True
28.706,29,67,none,False,False,False,True
28.857,29,56,none,False,False,False,True
29.008,29,56,none,False,False,False,True
29.16,29,56,none,False,False,False,True
29.31,29,56,none,False,False,False,True
29.461,29,56,none,False,False,False,True
29.613,29,56,none,False,False,False,True
29.764,29,56,none,False,False,False,True
29.915,29,56,none,False,False,False,True
30.066,29,56,none,False,False,False,True
30.217,29,56,none,True,False,False,False
30.368,29,67,none,False,False,False,True
30.52,29,67,none,False,False,False,True
30.671,29,67,none,False,False,False,True
30.822,29,67,none,False,False,False,True
30.973,29,67,none,False,False,False,True
31.124,31,66,none,False,False,False,True
31.275,33,66,none,False,False,False,True
31.426,35,67,none,False,False,False,True
31.577,36,67,none,False,False,False,True
31.729,36,67,none,False,False,False,True
31.88,36,67,none,False,False,False,True
32.031,36,67,none,False,False,False,True
32.182,36,67,none,False,False,False,True
32.333,36,67,none,False,False,False,True
32.484,36,67,none,False,False,False,True
32.636,37,66,none,False,False,False,True
32.787,39,66,none,False,False,False,True
32.938,42,67,none,False,False,False,True
33.089,42,67,none,False,False,False,True
33.24,42,67,none,False,False,False,True
33.391,42,67,none,False,False,False,True
33.542,42,67,none,False,False,False,True
33.694,42,67,left,False,False,False,False
33.845,42,67,none,False,False,False,True
33.996,30,67,none,False,False,False,True
34.147,30,67,none,False,False,False,True
34.298,35,67,none,False,False,False,True
34.449,37,67,none,False,False,False,True
34.6,37,67,none,False,False,False,True
34.751,37,67,none,False,False,False,True
34.902,37,67,none,False,False,False,True
35.054,37,67,none,False,False,False,True
35.205,37,67,none,True,False,False,True
35.356,37,67,none,True,False,False,False
35.507,36,81,none,False,False,False,True
35.658,38,79,none,False,False,False,True
35.809,40,79,none,False,False,False,True
35.961,43,80,none,False,False,False,True
36.112,43,80,none,False,False,False,True
36.263,43,80,none,False,False,False,True
36.414,43,80,none,False,False,False,True
36.565,43,80,left,False,False,False,False
36.716,43,80,left,False,False,False,False
36.868,43,80,left,False,False,False,False
37.019,41,80,left,False,False,False,True
37.17,40,80,none,False,False,False,True
37.321,40,80,none,False,False,False,True
37.472,40,80,none,False,False,False,True
37.623,40,80,none,False,False,False,True
37.774,40,80,none,False,False,False,True
37.925,40,80,none,False,False,False,True
38.076,40,80,none,False,False,False,True
38.227,40,80,none,False,False,False,True
38.378,40,80,none,False,False,False,True
38.529,40,80,none,False,False,False,True
38.68,40,80,none,False,False,False,True
38.831,40,80,none,False,False,False,True
38.983,40,80,none,False,False,False,True
39.134,40,80,none,False,False,False,True
39.284,40,80,none,False,False,False,True
39.436,40,80,none,False,False,False,False
39.587,52,81,right,False,False,False,False
39.738,52,81,none,False,False,False,False
39.889,52,81,none,False,False,False,False
40.04,52,81,left,False,False,False,False
40.191,51,81,none,False,False,False,True
40.342,51,81,none,False,False,False,False
40.494,51,81,none,False,False,False,False
40.645,51,81,none,False,False,False,False
40.796,51,81,none,False,False,False,False
40.947,51,81,none,False,False,False,False
41.097,51,81,right,False,False,False,False
41.249,53,79,none,False,False,False,False
41.399,56,80,left,False,False,False,False
41.55,57,80,left,False,False,False,False
41.702,56,80,left,False,False,False,False
41.853,55,80,left,False,False,False,False
42.004,53,80,none,False,False,False,False
42.156,53,72,none,False,False,False,True
42.307,53,72,none,False,False,False,True
42.458,53,72,none,False,False,False,True
42.609,53,72,none,False,False,False,True
42.76,53,72,none,False,False,False,True
42.912,53,72,none,False,False,False,True
43.062,53,72,none,False,False,False,True
43.214,53,72,none,False,False,False,True
43.365,53,72,none,False,False,False,True
