
--- 녹화 세션 시작: 2026-06-05 02:52:40 ---
[2026-06-05 02:52:49] Time:8.461s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:49] Time:8.612s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:49] Time:8.763s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:49] Time:8.914s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:49] Time:9.065s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:49] Time:9.216s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:50] Time:9.368s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:50] Time:9.519s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:50] Time:9.670s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:50] Time:9.821s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:50] Time:9.972s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:50] Time:10.123s | X:31, Y:66 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:50] Time:10.274s | X:34, Y:66 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:51] Time:10.425s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:51] Time:10.576s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:51] Time:10.728s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:51] Time:10.878s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:51] Time:11.030s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:51] Time:11.181s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:51] Time:11.332s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:52] Time:11.483s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:52] Time:11.634s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:52] Time:11.784s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:52] Time:11.936s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:52] Time:12.087s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:52] Time:12.238s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:53] Time:12.389s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:53] Time:12.539s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:53] Time:12.691s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:53] Time:12.842s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:53] Time:12.994s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:53] Time:13.145s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:53] Time:13.295s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:54] Time:13.446s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:54] Time:13.597s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:54] Time:13.749s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:54] Time:13.899s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:54] Time:14.050s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:54] Time:14.201s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:55] Time:14.353s | X:35, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:55] Time:14.503s | X:35, Y:81 | Dir:right | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:55] Time:14.655s | X:52, Y:80 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:55] Time:14.806s | X:53, Y:80 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:55] Time:14.957s | X:54, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:55] Time:15.108s | X:54, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:55] Time:15.259s | X:54, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:56] Time:15.409s | X:54, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
